file,rows,missing_cols,high_missing,reasons
HGRO.parquet,80,,,low_rows(80)
HIMU.parquet,164,,,low_rows(164)
HIMY.parquet,33,,,low_rows(33)
HIMZ.parquet,142,,,low_rows(142)
HIT.parquet,195,,,low_rows(195)
HIYY.parquet,9,,,low_rows(9)
HKPD.parquet,181,,,low_rows(181)
HMR.parquet,157,,,low_rows(157)
HNGE.parquet,93,,,low_rows(93)
HOLA.parquet,59,,,low_rows(59)
HOLD.parquet,36,,,low_rows(36)
HOND.parquet,246,,,low_rows(246)
HOOG.parquet,136,,,low_rows(136)
HOOI.parquet,33,,,low_rows(33)
